rollout/exploration_rate,Avg_2_headway,time/fps,Avg_0_headway,time/total_timesteps,time/episodes,time/time_elapsed,Total_Lane_Changes,Total_Crashed_Cras,Avg_1_speed,Avg_2_speed,Avg_0_speed,Avg_1_headway,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
0.7635149999999997,0.0,11,36.96450497540468,9100,229,813,3.0,2,8.306116975961807,8.306116975961807,8.538168131361463,312.7753879507475,-11.341752320000001,38.09,2249,0.024002578109502792,0.005
0.7633050000000003,0.0,11,282.08046123938124,9114,230,815,33.0,2,15.629917054957877,15.629917054957877,15.848857006820863,260.35324120690586,-11.423743400000001,38.0,2253,0.029350878670811653,0.005
0.7632450000000002,0.0,11,276.56355822967566,9118,231,815,3.0,2,20.40254641931575,20.40254641931575,20.15956055943419,293.37125805207427,-11.28882589,37.54,2254,0.06134653463959694,0.005
0.7632299999999999,,11,,9118,232,815,,,,,,,-11.37240739,37.32,,,
0.7623450000000002,0.0,11,442.6539098516809,9178,232,820,171.0,2,15.911289972924669,15.911289972924669,15.620445984386683,324.1814924989767,-11.37240739,37.32,2269,0.0696823000907898,0.005
0.7614450000000001,0.0,11,328.2207833794398,9238,233,826,2.0,2,8.525070771845886,8.525070771845886,8.060707033984503,856.1637448831791,-11.281086969999997,37.67,2284,0.07656484842300415,0.005
0.7607399999999997,0.0,11,166.68872116971963,9285,234,830,93.0,2,10.4520186823046,10.4520186823046,11.054154215549572,249.198505671091,-11.317463519999999,37.77,2296,0.04796764999628067,0.005
0.7603800000000003,0.0,11,113.44625955178162,9309,235,832,2.0,2,9.667639794845611,9.667639794845611,9.964452843062382,218.04918220808213,-11.706803619999995,38.15,2302,0.060455676168203354,0.005
0.7603649999999998,,11,,9309,236,832,,,,,,,-11.831112699999998,38.33,,,
0.7598850000000001,0.0,11,181.56822582752397,9342,236,835,89.0,2,17.682729691787955,17.682729691787955,17.45935695396763,401.04810558848976,-11.831112699999998,38.33,2310,0.055805206298828125,0.005
0.7595700000000003,0.0,11,360.1923220201103,9363,237,837,3.0,2,9.125930195869403,9.125930195869403,9.42867271638135,153.83298424759437,-11.840345069999998,38.63,2315,0.013277384452521801,0.005
0.7586700000000002,45.34140794949241,11,352.71120006076535,9423,238,842,168.0,2,13.678919063734567,13.288896744412911,13.53767912983418,93.71488131916321,-11.896148949999997,38.24,2330,0.03747793287038803,0.005
0.757995,0.0,11,344.97792737096984,9468,239,846,3.0,2,7.97193169129579,7.97193169129579,7.497038187815909,644.9270522335153,-12.0982332,38.76,2341,0.08837863802909851,0.005
0.7579800000000003,,11,,9468,240,846,,,,,,,-12.293072449999997,39.05,,,
0.7577549999999997,0.0,11,278.6954238872979,9484,240,848,38.0,2,19.970851010681002,19.970851010681002,19.933610857122314,318.11696400731694,-12.293072449999997,39.05,2345,0.0423310250043869,0.005
0.7573799999999997,0.0,11,486.33976484993366,9509,241,850,3.0,2,9.11495769299367,9.11495769299367,9.417809953090373,124.45044440914421,-12.22992428,39.1,2352,0.033408358693122864,0.005
0.75681,0.0,11,206.4665226861788,9547,242,853,68.0,2,12.943711082715648,12.943711082715648,13.127577026990682,285.3468092645376,-12.167829129999998,39.18,2361,0.042684271931648254,0.005
0.75591,0.0,11,1011.9171449296327,9607,243,859,3.0,1,16.24761498812191,16.24761498812191,16.099326451212896,285.17747010233916,-12.114007099999997,38.96,2376,0.03081020526587963,0.005
0.7558950000000004,,11,,9607,244,859,,,,,,,-11.960651199999997,39.07,,,
0.7557599999999998,0.0,11,347.8082262361107,9617,244,860,16.0,2,18.815619735658395,18.815619735658395,18.487543116996253,305.7995390436458,-11.960651199999997,39.07,2379,0.03616028651595116,0.005
0.7548599999999998,0.0,11,249.5357277910673,9677,245,865,3.0,2,9.411049711329895,9.411049711329895,8.806888578739983,837.3724322913287,-11.726081479999998,38.74,2394,0.08708456158638,0.005
0.7539599999999997,6.462617428460947,11,140.9789580917069,9737,246,870,177.0,2,9.565150907745906,9.565150907745906,11.840683715901628,232.3841678940303,-12.12825294,38.95,2409,0.03827555105090141,0.005
