time/episodes,Total_Lane_Changes,time/fps,time/total_timesteps,Total_Crashed_Cras,Avg_0_speed,Avg_1_speed,Avg_1_headway,Avg_2_headway,Avg_0_headway,Avg_2_speed,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
12,175.0,11,520,2,12.819851761976807,13.190182987792138,446.44637278370664,0.0,286.1015567796055,13.190182987792138,43,0.8922150000000002,38.333333333333336,-6.658206583333334,104,0.055919453501701355,0.005
13,3.0,11,575,2,8.912375709873448,9.514474104113255,745.2599725020048,0.0,435.61991149876127,9.514474104113255,48,0.8913899999999997,40.0,-6.688329,118,0.07212651520967484,0.005
14,47.0,11,601,2,12.899305754748138,13.334808214483848,407.21838598093206,0.0,264.5271882693328,13.334808214483848,50,0.8910000000000002,41.07142857142857,-8.522369,125,0.06156343221664429,0.005
15,3.0,11,642,2,9.97633858910714,9.678593421848435,4.104316501034646,0.0,652.6748198219248,9.678593421848435,53,0.890385,40.06666666666667,-8.906457733333333,135,0.06943982094526291,0.005
16,,11,642,,,,,,,,53,0.8903700000000003,40.125,-9.49651875,,,
16,18.0,11,650,1,23.26035004918531,23.292292206108804,270.38096962155385,0.0,315.01771664017593,23.292292206108804,54,0.8902649999999999,40.125,-9.49651875,137,0.08835305273532867,0.005
17,2.0,11,678,2,9.444484936967743,9.1427380564059,332.7033004241515,0.0,15.227462814048977,9.1427380564059,56,0.8898450000000002,38.23529411764706,-8.721417470588236,144,0.05529722198843956,0.005
18,135.0,11,724,2,9.96041262808118,10.426576791002184,506.2574759353184,0.0,267.7995076384621,10.426576791002184,60,0.8891550000000004,37.666666666666664,-9.121615722222222,155,0.07142338156700134,0.005
19,3.0,12,756,2,8.539418676636584,8.30738000185939,321.9472921084259,0.0,13.24880743487563,8.30738000185939,62,0.8886749999999999,38.10526315789474,-10.08080994736842,163,0.052475299686193466,0.005
20,,12,756,,,,,,,,62,0.8886600000000003,37.8,-10.326487449999998,,,
20,51.0,12,787,2,13.006493546043718,12.891082217084811,245.60867550542747,0.0,405.083328549529,12.891082217084811,65,0.8882099999999999,37.8,-10.326487449999998,171,0.02964186668395996,0.005
21,3.0,12,820,2,7.6626675064987335,8.134321313937711,520.6537068434187,0.0,175.66704221121324,8.134321313937711,68,0.8877149999999998,37.476190476190474,-10.492096952380951,179,0.05804438143968582,0.005
22,168.0,12,880,1,16.686024018785886,16.896947868021158,268.438205668004,0.0,534.0695607190776,16.896947868021158,73,0.8868149999999997,37.27272727272727,-10.146829863636363,194,0.05147882550954819,0.005
23,3.0,12,940,2,8.350474405952323,8.809167025201933,352.89138505122924,0.0,768.1078347879728,8.809167025201933,78,0.8859149999999997,38.26086956521739,-9.732270173913042,209,0.02749951183795929,0.005
24,,12,940,,,,,,,,78,0.8859000000000001,39.166666666666664,-9.450959875,,,
24,170.0,12,1000,2,14.12062731983498,13.747249412946507,220.86393216255678,0.0,240.82635964939234,13.747249412946507,82,0.8850149999999997,39.166666666666664,-9.450959875,224,0.0423586368560791,0.005
25,3.0,12,1044,2,7.971596120082665,7.734146019293551,205.82779355441153,0.0,73.92546429885431,7.734146019293551,86,0.8843549999999998,40.0,-9.57523396,235,0.07131259143352509,0.005
26,109.0,12,1085,2,11.22645508787052,10.849147914747624,240.91254896016466,0.0,177.34042226597526,10.849147914747624,89,0.8837400000000004,40.15384615384615,-9.433646692307693,246,0.023280788213014603,0.005
27,3.0,12,1134,2,7.900031177624626,8.846654584114717,0.0,263.2958700149384,707.6622226412168,7.900031177624626,93,0.883005,40.18518518518518,-9.49629725925926,258,0.021869417279958725,0.005
28,,12,1134,,,,,,,,93,0.8829899999999997,40.5,-10.132991821428572,,,
