Avg_2_headway,time/fps,Avg_0_headway,time/total_timesteps,time/time_elapsed,Total_Lane_Changes,time/iterations,Total_Crashed_Cras,Avg_1_speed,Avg_2_speed,Avg_0_speed,Avg_1_headway,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/value_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate
0.0,10,207.00372656190203,366193,34137,87.0,6607,2,13.850239929447502,13.850239929447502,13.619393410696736,381.77905260437205,38.22822904,58.58,,,,,,,,,,
0.0,10,299.04051126204627,366253,34143,0.0,6608,0,20.000000000000014,20.000000000000014,20.000000000000014,289.6922042191618,37.51779475,58.37,,,,,,,,,,
0.0,10,256.0941638532563,366313,34148,80.0,6609,1,18.41616037755817,18.41616037755817,18.31339023338469,332.95833093340747,37.51779475,58.37,,,,,,,,,,
0.0,10,288.4362054482792,366373,34154,0.0,6610,0,20.000000000000014,20.000000000000014,20.000000000000014,290.3461568716582,38.155217199999996,58.37,,,,,,,,,,
0.0,10,287.1293364997815,366433,34160,37.0,6611,0,20.26066646723082,20.26066646723082,20.267054773026285,277.24856837058,38.75420197,58.37,,,,,,,,,,
0.0,10,217.13298595409447,366483,34164,3.0,6612,2,9.264234800615013,9.264234800615013,10.467225998122629,74.42646558031856,39.43494083,58.47,,,,,,,,,,
0.0,10,284.4900345035167,366543,34170,66.0,6613,0,19.949832823950928,19.949832823950928,19.97061870875577,288.1309537527107,38.75270733,58.37,,,,,,,,,,
,10,,366592,34175,,716,,,,,,39.3302313,58.37,,,,,,,,,,
60.194955359245114,10,389.35050228092337,366603,34177,3.0,6614,2,11.445244983647584,0.00642307888103927,11.445244983647584,0.0,39.3302313,58.37,7160,22.254352589696644,0.04757026,0.4425048232078552,-1.9061218082904816,0.80888224,-0.007698435999918729,0.303125,0.2,0.0003
1.0202534806651715,10,433.19761137098965,366661,34182,74.0,6615,2,15.377488299786837,15.18360996241791,15.356562249867261,265.3156115995712,39.179357069999995,58.37,,,,,,,,,,
0.0,10,267.0589050803319,366721,34188,3.0,6616,1,16.02359142217564,16.02359142217564,16.515554117877137,237.8368165317122,38.60059227000001,58.35,,,,,,,,,,
0.0,10,278.64851364669323,366781,34194,48.0,6617,0,20.22351165749148,20.22351165749148,20.2358354902464,291.34069788754124,38.738240330000004,58.35,,,,,,,,,,
29.93909725758226,10,41.083405961186145,366841,34199,2.0,6618,2,11.038945598299977,0.950570471477256,11.038945598299977,0.0,38.74255505000001,58.35,,,,,,,,,,
