Avg_1_headway,rollout/exploration_rate,Avg_1_speed,time/episodes,time/time_elapsed,Total_Lane_Changes,Avg_0_headway,Avg_0_speed,Avg_2_speed,Total_Crashed_Cras,Avg_2_headway,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/loss,train/n_updates
289.91719129270524,0.8943600000000003,16.547898054947833,8,33,171.0,333.9415633048435,17.299050332091745,16.547898054947833,1,0.04851807388220058,11,377,39.625,-13.904399375,0.005,0.2207011580467224,69
292.3904667753843,0.8942400000000001,22.1133580720315,9,34,3.0,292.4867029479799,21.791840955135505,22.1133580720315,1,0.0,11,385,41.888888888888886,-12.370746444444444,0.005,0.5006859302520752,71
211.17562059936427,0.89334,13.363134007694175,10,39,165.0,592.799763340593,13.363939638069123,13.347525069224643,2,0.296443007417349,11,445,38.5,-10.890017,0.005,0.7259583473205566,86
794.4515501203782,0.8924399999999999,9.960202078573754,11,45,3.0,160.7753340132125,9.36649113565321,9.960202078573754,2,0.0,11,505,40.45454545454545,-11.942521727272727,0.005,0.2655119299888611,101
,0.8924250000000004,,12,45,,,,,,,11,505,42.083333333333336,-12.243137833333334,,,
304.87894381991225,0.8915399999999999,16.73862681246172,12,51,175.0,510.635298755519,16.49202368511848,16.73862681246172,1,0.0,11,565,42.083333333333336,-12.243137833333334,0.005,0.13818682730197906,116
802.4006420720793,0.8906399999999999,9.950000835061257,13,56,3.0,171.0622173587691,9.356086272390574,9.950000835061257,2,0.0,11,625,43.46153846153846,-11.337368230769231,0.005,0.3179754912853241,131
324.3003607824064,0.8904899999999997,18.75695254998865,14,57,27.0,276.1140274921714,18.864590195314772,18.75695254998865,2,0.0,11,635,44.642857142857146,-11.66384657142857,0.005,0.2691809833049774,133
151.6036235115655,0.8901300000000001,11.794421554909492,15,59,3.0,274.3933424841896,12.054876626492494,11.794421554909492,2,0.0,11,659,42.333333333333336,-10.970295133333332,0.005,0.20797616243362427,139
,0.8901149999999998,,16,59,,,,,,,11,659,41.1875,-10.027143249999998,,,
282.4764055564995,0.8898299999999999,12.917368838990074,16,61,55.0,202.26491659419722,13.144161672780367,12.917368838990074,2,0.0,10,679,41.1875,-10.027143249999998,0.005,0.3783313035964966,144
365.23224615573326,0.8893800000000003,7.975778633151367,17,64,3.0,329.33988962483636,7.500961915742085,7.975778633151367,2,0.0,11,709,39.94117647058823,-10.33210576470588,0.005,0.16444726288318634,152
229.63611151864038,0.8888999999999998,13.8342786405252,18,67,90.0,333.7491977785062,13.973867936688977,13.8342786405252,2,0.0,11,741,39.388888888888886,-9.339161499999998,0.005,0.20397841930389404,160
297.6152096109548,0.8885400000000002,7.734113901439747,19,69,3.0,107.4729134604014,7.971564319602248,7.734113901439747,2,0.0,11,765,39.0,-8.833080999999998,0.005,0.2377452254295349,166
,0.8885249999999998,,20,69,,,,,,,11,765,38.25,-8.845741649999999,,,
198.10081873506704,0.8876849999999998,12.608021872670582,20,74,167.0,487.25364272763414,12.611074768983654,12.53830303761977,2,2.1342425934668614,11,822,38.25,-8.845741649999999,0.005,0.10820867866277695,180
0.0,0.8867849999999997,10.470983668227676,21,79,3.0,865.5532692085214,9.268150920592003,9.268150920592003,2,427.4146696348896,11,882,39.142857142857146,-9.002632047619048,0.005,0.07951769232749939,195
235.4880935556177,0.8864099999999997,18.186094516021697,22,82,44.0,336.8216115585879,18.367606700966057,18.139831718035712,2,16.439025755188062,11,907,40.09090909090909,-10.411218772727272,0.005,0.2550429403781891,201
0.0,0.8855099999999997,9.967628819836113,23,87,3.0,829.3268438852887,8.747793503668227,8.747793503668227,2,190.15241009365695,11,967,39.43478260869565,-9.88701452173913,0.005,0.16767430305480957,216
,0.8854950000000001,,24,87,,,,,,,11,967,40.291666666666664,-10.624840875,,,
202.72670220711453,0.8848650000000002,13.840302855631581,24,91,117.0,359.19934605840695,13.940612583425377,13.812579325718675,2,4.321645683946749,11,1010,40.291666666666664,-10.624840875,0.005,0.40507400035858154,227
310.4483875302665,0.8845049999999999,7.734120553674414,25,93,3.0,124.94196613616475,7.971570906102689,7.734120553674414,2,0.0,11,1034,40.4,-10.50419016,0.005,0.2950403094291687,233
283.5803931601232,0.8843849999999998,22.61598037544025,26,94,19.0,274.87054733652224,22.69289795299323,22.61598037544025,0,0.0,11,1042,39.76923076923077,-10.316027346153847,0.005,0.21773692965507507,235
275.0876634182001,0.8840699999999999,9.663346624459415,27,95,3.0,127.24575449568465,9.960202095748283,9.663346624459415,2,0.0,11,1063,38.592592592592595,-9.723319555555557,0.005,0.16756217181682587,240
,0.8840550000000003,,28,95,,,,,,,11,1063,37.964285714285715,-9.683748892857144,,,
