Avg_1_headway,Avg_1_speed,time/iterations,time/time_elapsed,Total_Lane_Changes,Avg_0_headway,Avg_0_speed,Avg_2_speed,Total_Crashed_Cras,Avg_2_headway,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/approx_kl,train/explained_variance
280.20324269298874,15.617416285524245,4375,29239,117.0,530.0572640887741,15.410618095091873,15.617416285524245,1,0.0,8,251506,59.95,33.27360406,,,,,,,,,,
290.6190666820248,20.000000000000014,4376,29245,0.0,286.34209460742454,20.000000000000014,20.000000000000014,0,0.0,8,251566,59.95,33.24390863,,,,,,,,,,
292.0161636604764,15.334964880219212,4377,29251,73.0,368.59402654680116,16.077355819745744,15.334964880219212,1,0.0,8,251626,59.95,33.24796955,,,,,,,,,,
290.5801887146647,20.04725028513805,4378,29258,0.0,291.01050518906027,20.047249359043004,20.04725028513805,0,0.0,8,251686,59.95,32.69060914,,,,,,,,,,
283.3582096137538,20.447777373802342,4379,29264,105.0,282.54993872005036,20.452033378606377,20.447777373802342,0,0.0,8,251746,59.95,32.69162437,,,,,,,,,,
300.1269107252424,20.000000000000014,4380,29271,1.0,283.4811195083962,20.000000000000014,20.000000000000014,0,0.0,8,251806,59.95,32.67284265,,,,,,,,,,
296.8147098302358,15.673459682867927,4381,29277,117.0,571.5406535489785,15.475355784945037,15.673459682867927,1,0.0,8,251866,59.95,33.297828550000006,,,,,,,,,,
,,492,29281,,,,,,,8,251904,59.95,33.29537508000001,,,,,,,,,,
308.38062872974797,20.000235968637245,4382,29290,1.0,280.8180480690851,20.000235968637227,20.000235968637245,0,0.0,8,251926,59.95,33.29537508000001,41.02219150066376,0.130078125,0.0003,-0.013451949728187173,0.2,-1.6501189835369587,19.485658645629883,4920,0.009928652,1.1920929e-07
294.8126436237826,16.4970208074233,4383,29295,113.0,479.3804412294775,16.32495008230725,16.4970208074233,1,0.0,8,251986,59.95,33.82304005,,,,,,,,,,
157.10613534161962,13.761929231172575,4384,29301,2.0,601.2295143469862,15.536490461299554,13.761929231172575,1,0.0,8,252046,59.95,33.89994361000001,,,,,,,,,,
283.10281632043365,15.723226313048126,4385,29307,140.0,465.44702321338974,15.560396298842369,15.723226313048126,1,0.0,8,252106,59.95,33.87129161,,,,,,,,,,
285.2447889715802,20.276813364067614,4386,29314,0.0,281.6365621002667,20.276466528705626,20.276813364067614,0,0.0,8,252166,59.95,33.31655388,,,,,,,,,,
293.42991272727807,15.61658043634828,4387,29320,129.0,560.2706977925881,15.419272434787223,15.61658043634828,1,0.0,8,252226,59.95,34.25031023,,,,,,,,,,
906.3611238262818,9.39748584342912,4388,29327,0.0,345.3974629526201,8.793053972135015,9.39748584342912,2,0.0,8,252286,59.95,33.70817825,,,,,,,,,,
310.4423575711887,19.60940931576146,4389,29333,72.0,286.4422628816459,19.5507040954769,19.60940931576146,1,0.0,8,252346,59.95,32.530767080000004,,,,,,,,,,
